,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saint Paul Harbor,90,US,1592697007,87,57.79,-152.41,52.069999999999965,5.7
1,Tocopilla,20,CL,1592697253,69,-22.09,-70.2,60.908,3.4
2,Iskateley,100,RU,1592697253,88,67.68,53.15,40.891999999999996,9.03
3,Rikitea,57,PF,1592696721,84,-23.12,-134.97,76.26199999999996,5.28
4,Faanui,63,PF,1592697046,80,-16.48,-151.75,80.11400000000003,4.98
5,Korla,32,CN,1592697176,22,41.76,86.15,71.90600000000003,7.49
6,Hilo,40,US,1592696978,54,19.73,-155.09,82.66999999999996,4.6
7,Butaritari,92,KI,1592696983,76,3.07,172.79,83.78599999999997,5.21
8,Port Hardy,90,CA,1592697254,82,50.7,-127.42,55.66999999999996,5.7
9,Clyde River,1,CA,1592697012,86,70.47,-68.59,39.469999999999956,3.1
10,Cape Town,40,ZA,1592697128,87,-33.93,18.42,60.27799999999996,5.1
11,Provideniya,31,RU,1592696735,38,64.38,-173.3,59.70199999999998,3.07
12,Avarua,100,CK,1592696980,69,-21.21,-159.78,73.66999999999996,4.1
13,Bubaque,92,GW,1592697254,81,11.28,-15.83,81.392,3.31
14,Alenquer,78,BR,1592697254,92,-1.94,-54.74,76.47799999999997,1.66
15,Ancud,20,CL,1592696726,100,-41.87,-73.82,45.266000000000005,0.5
16,Albany,71,US,1592696908,52,42.6,-73.97,87.27799999999996,1.85
17,Hermanus,33,ZA,1592696988,92,-34.42,19.23,58.26199999999996,3.13
18,Atuona,3,PF,1592696998,71,-9.8,-139.03,80.22200000000004,5.32
19,Pevek,62,RU,1592696724,71,69.7,170.31,43.46600000000001,3.33
20,Ushuaia,20,AR,1592696823,87,-54.8,-68.3,37.66999999999996,2.78
21,Port Alfred,10,ZA,1592696982,59,-33.59,26.89,68.26999999999995,2.68
22,Torbay,75,CA,1592697004,86,47.67,-52.73,42.27799999999996,4.6
23,Tuktoyaktuk,90,CA,1592696721,93,69.45,-133.04,41.26999999999996,7.2
24,Bethel,1,US,1592696861,61,41.37,-73.41,79.26799999999999,3.6
25,Kalasin,40,TH,1592697255,88,16.5,103.5,80.86999999999996,2.6
26,Fountain Hills,1,US,1592697255,8,33.61,-111.72,103.26199999999996,3.6
27,Busselton,0,AU,1592696983,74,-33.65,115.33,40.26199999999996,2.93
28,Mahébourg,40,MU,1592697008,88,-20.41,57.7,70.06999999999996,6.2
29,Buarcos,20,PT,1592697256,93,40.17,-8.88,62.27599999999999,2.6
30,Saint George,1,US,1592696831,6,37.1,-113.58,100.27400000000002,3.6
31,Samarai,18,PG,1592697042,85,-10.62,150.67,79.7,5.01
32,Dikson,100,RU,1592696979,84,73.51,80.55,36.248000000000026,11.23
33,Vaini,75,TO,1592696986,88,-21.2,-175.2,79.06999999999996,3.6
34,Puerto Ayora,77,EC,1592696990,96,-0.74,-90.35,69.27799999999996,3.13
35,Paita,0,PE,1592697256,79,-5.09,-81.11,66.65,7.02
36,Hobart,90,AU,1592696916,93,-42.88,147.33,46.274000000000015,3.6
37,Noumea,9,NC,1592697256,53,-22.28,166.46,71.86999999999996,3.1
38,Punta Arenas,75,CL,1592696980,84,-53.15,-70.92,34.06999999999996,3.6
39,Olivehurst,1,US,1592697257,28,39.1,-121.55,93.46999999999997,2.6
40,Puerto Madryn,53,AR,1592697257,44,-42.77,-65.04,55.417999999999985,12.76
41,Garoowe,84,SO,1592696885,45,8.41,48.48,82.61600000000001,7.84
42,Chamba,0,IN,1592697257,32,32.57,76.13,73.45399999999995,3.87
43,Rupert,1,US,1592697041,26,42.62,-113.68,82.66999999999996,2.6
44,Upernavik,0,GL,1592696979,72,72.79,-56.15,40.60399999999995,4.27
45,New Norfolk,100,AU,1592697000,93,-42.78,147.06,46.274000000000015,0.57
46,Egvekinot,42,RU,1592697017,42,66.32,-179.17,55.85,1.46
47,Aloleng,8,PH,1592697257,72,16.13,119.78,83.96600000000001,2.2
48,Assens,96,DK,1592697257,93,55.27,9.9,55.66999999999996,2.6
49,Barrow,90,US,1592696980,69,71.29,-156.79,37.66999999999996,3.6
50,Khovd,36,MN,1592697258,34,48.01,91.64,62.11400000000003,6.58
51,Dosso,45,NE,1592697258,39,13.05,3.19,90.28399999999999,7.2
52,Nelson Bay,90,AU,1592697034,87,-32.72,152.15,55.274000000000015,5.1
53,Nikolskoye,0,RU,1592696986,67,59.7,30.79,57.469999999999956,4.0
54,Mimongo,88,GA,1592697258,94,-1.62,11.61,69.72799999999997,1.85
55,Guarapari,0,BR,1592697258,83,-20.67,-40.5,73.66999999999996,2.6
56,Camacha,40,PT,1592697258,77,33.08,-16.33,68.26999999999995,5.1
57,George Town,20,MY,1592697258,94,5.41,100.34,80.86999999999996,2.31
58,Kurumkan,2,RU,1592697258,44,54.3,110.3,65.82200000000003,1.3
59,Rottenmann,100,AT,1592697259,90,47.52,14.35,56.26400000000004,1.77
60,Cabo San Lucas,20,MX,1592696734,37,22.89,-109.91,89.86999999999996,1.5
61,Arraial do Cabo,0,BR,1592696727,86,-22.97,-42.03,75.12799999999996,5.73
62,Severo-Kuril'sk,100,RU,1592696982,88,50.68,156.12,43.75399999999995,7.62
63,Maïné Soroa,20,NE,1592697259,22,13.21,12.02,86.82799999999997,4.04
64,Aykhal,40,RU,1592697006,55,66.0,111.5,66.46999999999997,2.0
65,Nanortalik,90,GL,1592696994,81,60.14,-45.24,40.477999999999966,2.32
66,Kavieng,13,PG,1592697036,67,-2.57,150.8,85.19000000000003,0.32
67,Borogontsy,78,RU,1592697259,56,62.67,131.17,70.57400000000001,2.52
68,Vaitape,67,PF,1592697029,79,-16.52,-151.75,80.88800000000005,5.07
69,Villa Carlos Paz,10,AR,1592697259,93,-31.42,-64.5,55.274000000000015,1.5
70,Kapaa,20,US,1592696997,74,22.08,-159.32,83.26400000000004,5.1
71,Khatanga,68,RU,1592696982,55,71.97,102.5,59.48599999999997,6.11
72,Aberystwyth,100,GB,1592697260,93,52.42,-4.08,53.27599999999999,2.24
73,Chokurdakh,0,RU,1592697024,17,70.63,147.92,89.816,3.65
74,Sulingen,18,DE,1592697260,93,52.68,8.8,55.274000000000015,1.0
75,Mataura,28,NZ,1592696979,83,-46.19,168.86,39.272000000000034,1.34
76,Boké,89,GN,1592697260,91,10.94,-14.3,77.16199999999995,0.83
77,Saint-Philippe,66,RE,1592696984,77,-21.36,55.77,71.86999999999996,1.5
78,Puerto Quijarro,2,BO,1592697260,56,-17.78,-57.77,76.45999999999998,1.36
79,Sitka,90,US,1592696997,87,57.05,-135.33,50.26999999999996,2.81
80,Atar,18,MR,1592697261,16,20.52,-13.05,97.88000000000004,6.3
81,Castro,0,BR,1592696988,89,-24.79,-50.01,57.83000000000004,2.14
82,Jumla,92,NP,1592697261,69,29.27,82.18,58.83800000000005,0.73
83,Baruun-Urt,100,MN,1592697020,91,46.68,113.28,57.2,4.29
84,Port Elizabeth,20,ZA,1592697004,93,-33.92,25.57,62.86999999999996,7.7
85,Rocha,48,UY,1592697261,83,-34.48,-54.33,54.68000000000004,3.64
86,Kirensk,9,RU,1592697261,58,57.79,108.11,69.65600000000003,1.69
87,Yellowknife,20,CA,1592696702,27,62.46,-114.35,77.26999999999995,5.7
88,Thompson,90,CA,1592696989,93,55.74,-97.86,52.069999999999965,3.6
89,Bluff,10,NZ,1592696981,83,-46.6,168.33,39.272000000000034,1.34
90,Chui,58,UY,1592696989,89,-33.7,-53.46,57.272000000000034,3.29
